                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.64441,                0.40876,                0.88055,                0.96391,                0.96639,                0.96552,                0.83381,                0.61427,                0.42184,                0.87275,               0.001535,               0.001535,               0.001535
                     82,                0.62977,                0.40927,                0.87923,                0.96853,                0.96404,                0.96723,                0.83737,                 0.5726,                0.42795,                0.86263,              0.0015333,              0.0015333,              0.0015333
                     83,                0.61065,                0.42192,                0.87491,                0.97563,                0.96887,                0.96955,                0.84664,                 0.5478,                0.40318,                0.85916,              0.0015317,              0.0015317,              0.0015317
                     84,                0.61927,                0.40077,                0.89146,                0.97882,                0.96692,                0.97185,                0.85164,                0.53515,                0.39457,                0.85582,                0.00153,                0.00153,                0.00153
                     85,                0.59347,                0.37997,                 0.8572,                0.97581,                0.95824,                0.97379,                 0.8443,                0.57543,                0.40748,                0.86603,              0.0015284,              0.0015284,              0.0015284
                     86,                0.60442,                0.38959,                0.87626,                0.97581,                0.95824,                0.97379,                 0.8443,                0.57543,                0.40748,                0.86603,              0.0015267,              0.0015267,              0.0015267
                     87,                0.61593,                0.40504,                0.86893,                0.96957,                0.96984,                0.97307,                0.84318,                 0.5706,                0.39984,                0.86432,              0.0015251,              0.0015251,              0.0015251
                     88,                 0.6003,                0.38056,                0.87166,                0.97934,                0.96767,                   0.97,                0.85135,                0.54513,                0.39233,                0.85812,              0.0015234,              0.0015234,              0.0015234
                     89,                0.61546,                0.39061,                0.88648,                 0.9739,                0.96963,                0.96439,                0.84896,                0.53352,                0.38958,                0.85548,              0.0015218,              0.0015218,              0.0015218
                     90,                0.59746,                0.37964,                0.84771,                0.97861,                0.96282,                0.96691,                 0.8585,                0.51966,                0.39018,                0.85404,              0.0015201,              0.0015201,              0.0015201
                     91,                0.59774,                0.40099,                0.86364,                0.97772,                0.96444,                0.96829,                0.85073,                0.57474,                0.40325,                0.87074,              0.0015185,              0.0015185,              0.0015185
                     92,                 0.6105,                0.38108,                0.87855,                0.97953,                0.96795,                0.97153,                0.85903,                0.53802,                0.37914,                0.86203,              0.0015168,              0.0015168,              0.0015168
                     93,                 0.5939,                0.39498,                  0.869,                 0.9784,                0.96682,                0.96809,                0.86235,                0.51471,                0.37566,                0.85562,              0.0015152,              0.0015152,              0.0015152
                     94,                0.57046,                0.38153,                0.86592,                 0.9784,                0.96682,                0.96809,                0.86235,                0.51471,                0.37566,                0.85562,              0.0015135,              0.0015135,              0.0015135
                     95,                 0.5625,                0.37312,                0.88014,                0.97631,                0.96446,                0.97042,                0.87249,                0.48998,                0.36934,                0.84791,              0.0015119,              0.0015119,              0.0015119
                     96,                 0.5599,                 0.3867,                0.85196,                0.95731,                0.96795,                0.96215,                0.86258,                0.50097,                0.38886,                0.84856,              0.0015102,              0.0015102,              0.0015102
                     97,                0.53113,                 0.3632,                0.87514,                0.95619,                0.96795,                0.95331,                0.85119,                0.51648,                0.40735,                0.85084,              0.0015086,              0.0015086,              0.0015086
                     98,                0.55509,                0.36838,                0.85476,                0.95317,                0.94573,                0.94805,                0.85074,                0.48709,                0.41534,                0.84735,              0.0015069,              0.0015069,              0.0015069
                     99,                0.56724,                0.38463,                0.86557,                0.95784,                0.96825,                0.95013,                0.85529,                0.48026,                0.39454,                0.84644,              0.0015053,              0.0015053,              0.0015053
                    100,                0.54241,                0.35868,                0.86044,                0.96067,                0.97051,                0.94916,                0.85062,                0.48195,                 0.4014,                0.84425,              0.0015036,              0.0015036,              0.0015036
                    101,                0.54257,                0.35805,                 0.8496,                0.96416,                0.97051,                0.95449,                0.86649,                0.46737,                0.38696,                0.84162,               0.001502,               0.001502,               0.001502
                    102,                0.53456,                0.37409,                0.85307,                0.96416,                0.97051,                0.95449,                0.86649,                0.46737,                0.38696,                0.84162,              0.0015003,              0.0015003,              0.0015003
                    103,                0.55193,                0.36587,                0.85078,                0.96421,                0.97051,                0.96059,                0.86002,                0.50234,                0.38622,                0.85025,              0.0014987,              0.0014987,              0.0014987
                    104,                0.53488,                0.36544,                0.86608,                0.96415,                0.97051,                0.96528,                0.86421,                0.49955,                0.39001,                0.84884,               0.001497,               0.001497,               0.001497
                    105,                0.55983,                 0.3668,                0.86905,                0.96398,                0.97051,                0.97059,                0.87252,                 0.4947,                0.37326,                0.84577,              0.0014954,              0.0014954,              0.0014954
                    106,                0.53634,                  0.366,                0.85671,                0.96424,                0.97051,                0.96638,                0.87329,                0.47527,                0.37314,                0.84138,              0.0014937,              0.0014937,              0.0014937
                    107,                0.55919,                0.37692,                0.83846,                0.96405,                0.97051,                0.96172,                0.86073,                0.49907,                0.37273,                0.84418,              0.0014921,              0.0014921,              0.0014921
                    108,                0.55533,                0.38081,                0.85103,                0.96351,                0.97051,                0.95658,                0.86348,                0.47873,                0.38782,                0.83774,              0.0014904,              0.0014904,              0.0014904
                    109,                0.53729,                  0.373,                0.84653,                0.96297,                0.96992,                0.95899,                0.86753,                0.48755,                0.38428,                0.83857,              0.0014888,              0.0014888,              0.0014888
                    110,                0.55425,                0.35646,                0.85507,                0.96297,                0.96992,                0.95899,                0.86753,                0.48755,                0.38428,                0.83857,              0.0014871,              0.0014871,              0.0014871
                    111,                0.51853,                 0.3688,                  0.869,                0.96317,                0.97001,                0.95677,                0.86744,                0.47778,                0.38733,                 0.8358,              0.0014855,              0.0014855,              0.0014855
                    112,                0.53392,                0.35218,                0.84427,                0.96467,                0.97005,                0.95364,                0.86771,                0.46418,                0.38221,                0.83304,              0.0014838,              0.0014838,              0.0014838
                    113,                0.54197,                 0.3596,                0.85953,                0.96168,                0.97051,                0.95501,                0.87266,                0.44495,                0.37726,                0.82951,              0.0014822,              0.0014822,              0.0014822
                    114,                0.50942,                0.36579,                0.84496,                0.96158,                0.97051,                0.95589,                0.87197,                0.45445,                 0.3744,                0.83299,              0.0014805,              0.0014805,              0.0014805
